symbol,vwap
IWM,146.908
QQQ,164.179
CME,181.689
AMZN,1645.198
CROX,28.607
CRSP,31.788
CTAS,185.025
EBAY,33.406
EXEL,23.086
LABU,44.73
LABD,28.126
BSBR,12.664
LOPE,92.215
MLCO,21.355
EEM,42.232
NUVA,48.74
ARCC,16.21
NWSA,12.605
XLI,71.048
PZZA,42.395
BUD,74.568
SRPT,123.405
ABT,70.416
STX,43.277
TER,36.631
RWT,15.873
AZN,35.934
WBA,71.619
CNHI,10.078
CTSH,69.112
EXPE,118.431
FGEN,54.96
BWA,40.232
AU,13.688
LNT,43.152
SNPS,91.152
AMT,170.331
BEN,29.264
MU,38.13
CMCSA,35.483
APTV,72.81
NTRI,43.24
XRAY,41.167
CFX,24.808
EPR,72.524
CCEP,46.108
CCL,57.036
NWL,20.899
QCOM,49.839
DEO,144.631
DF,3.99
ADM,44.546
ETSY,53.647
AGI,4.382
EURN,7.728
APD,163.384
BTI,34.342
CLX,146.113
EDU,75.782
MAR,112.035
ADT,7.132
DISCK,24.296
GNK,7.198
GLNG,22.023
HSIC,77.5
ATUS,18.667
NTES,240.272
FTI,22.985
SBRA,20.386
FBHS,43.019
GLOG,18.255
DISH,29.327
CIEN,37.255
CYBR,85.857
HOG,35.651
ERJ,20.806
DHR,107.938
TTD,138.724
SENS,2.405
TNDM,41.926
UAL,86.756
RAIL,7.035
CREE,48.949
EVR,89.545
XBI,80.705
BHP,50.14
RSX,20.881
JACK,81.504
MXL,19.128
ZNGA,4.478
LIN,162.054
ULTA,288.818
IVZ,18.543
HMY,1.942
VZ,53.213
FSM,3.829
LITE,45.756
IVAC,5.327
BP,40.452
MSFT,105.247
NNN,52.07
BBY,58.787
LOXO,233.866
RARE,47.676
MPWR,125.532
CNI,83.273
SU,32.21
OSTK,17.846
ARRS,31.282
MTOR,20.308
MAT,12.239
SBUX,67.674
DTYS,19.865
EFA,62.408
LPL,8.757
DUK,85.968
NSA,28.623
PUK,39.179
CTL,14.808
PDCE,32.789
PRGO,45.277
LMT,289.738
KSS,68.687
RACE,111.68
RIO,55.085
HD,181.479
LEA,153.798
IX,74.019
MCD,183.959
TWLO,101.745
TRX,0.561
HPQ,22.055
HEXO,5.296
TMO,240.89
HUN,22.461
GGAL,34.864
TSS,88.283
MCK,125.009
TKC,6.887
VNE,29.274
FUTY,35.311
UL,53.008
EXTR,7.316
NMS,12.442
WSM,52.438
XRX,27.785
ENSG,42.318
PRA,42.447
MKC,123.337
UTSL,27.104
SJR,20.005
STT,70.426
ASML,174.859
YEXT,14.939
VLO,82.377
BAK,28.108
BHGE,23.757
ATNX,11.307
SNN,37.718
ACB,6.957
NFLX,334.522
PPDF,3.525
QGEN,37.174
ROG,120.646
TGS,16.762
ADBE,240.338
CKH,41.598
NAK,0.756
W,107.47
MRCC,11.831
PLAB,10.699
BXE,0.445
CEF,12.877
SVM,2.226
TECD,94.739
FRSX,2.116
ZVZZT,9.991
VXXB,38.009
GSK,39.055
BKEP,2.198
PBR,15.812
GILD,69.22
SQ,69.917
STNE,21.663
APHA,7.599
AMD,22.112
KLAC,104.093
GOLD,12.895
MVIS,0.822
PEG,53.048
CAJ,28.865
